	CMS121	CMS13	CMS15	CMS17	CMS50	CMS9	CVRL01	CVRL02	CVRL05	CVRL06	LCA66	VOLP03	VOLP08	VOLP32	YWLL08	YWLL38	YWLL44
SO_sSO127	145165	245255	000000	138166	147179	236246	226226	000000	168168	191205	237242	140162	143143	205255	138160	186186	201201
SO_sSO128	145147	251257	000000	138166	179185	236238	206206	000000	168168	191205	242242	140162	143143	205255	138138	190190	201203
SO_sSO129	145147	255255	000000	138166	179181	236238	194204	000000	158158	191205	228228	130140	145147	205255	140170	186186	201201
SO_sSO130	145147	245255	000000	138166	177177	236238	226226	000000	158168	191205	246246	130140	143143	205255	154154	186186	199201
SO_sSO131	147163	251255	000000	138166	171179	236238	214224	000000	168168	201201	237242	140162	143145	205255	152152	186186	199201
SO_sSO132	147165	251251	000000	138166	171179	238248	194226	000000	158168	191205	242242	140140	143147	255255	152152	186190	201201
SO_sSO133	145147	255257	000000	138166	171171	236238	206226	000000	158168	191205	242242	130140	145145	205255	140140	186186	191199
SO_sSO134	145147	245251	000000	138166	147181	236238	197226	000000	158158	205205	242246	154166	145145	255255	142154	190190	201201
SO_sSO135	145147	245251	000000	138166	147181	236238	226226	000000	158158	191205	242246	154166	143145	255255	142158	190190	201201
SO_sSO136	143163	251255	000000	138166	177177	236238	208220	000000	168168	205205	226242	144166	143143	255255	142142	186190	201209
SO_sSO137	145159	251255	000000	138166	171179	236238	216226	000000	158168	191205	242242	140162	143143	205255	138138	186186	201203
SO_sSO156	145145	251257	000000	138166	147147	236238	226226	000000	158168	191205	242242	140166	143143	255255	154158	186188	201201
SO_sSO157	145149	251255	000000	138166	171179	236246	194204	000000	158168	191201	242242	132132	143143	205255	138158	186190	201201
SO_sSO168	145149	251251	000000	138166	179185	242242	224226	000000	168168	191201	242242	130140	143145	205255	138140	186186	201203
SO_sSO173	145145	255255	000000	138166	181181	236238	194194	000000	158158	191205	226242	162162	143145	205255	138154	186190	201201
SO_sSO185	147165	251255	000000	138166	147171	238238	194226	000000	158168	191205	226242	130140	143143	205255	154154	186190	199203
SO_sSO46	143143	255255	000000	138166	179179	238246	194226	000000	168168	201201	242246	140144	143143	255255	154154	186190	199201
SO_sSO47	157157	239251	000000	138166	171179	236238	204206	000000	158168	205205	242242	130140	143143	255255	154154	186190	201201
SO_sSO48	147147	255255	000000	138166	147147	236238	226226	000000	158168	191205	242242	140140	143143	255255	154154	186190	199201
SO_sSO49	143143	255255	000000	138166	147147	236238	194206	000000	158168	191205	226226	130142	143143	205255	140142	186186	201203
SO_sSO50	145147	255255	000000	138166	177185	238238	226226	000000	158172	191205	226242	130140	143143	255255	154158	186186	201201
SO_sSO51	147147	251251	000000	138166	179179	238238	226226	000000	158168	191205	237246	130140	143145	255255	138158	186186	185201
SO_sSO52	147147	251255	000000	138166	177179	236238	226226	000000	168168	191205	242242	130140	143143	205255	138138	186186	185204
SO_sSO53	147147	251251	000000	138166	171179	236238	197226	000000	158168	191205	237242	140166	143145	255255	138138	186186	185201
SO_sSO54	147147	251251	000000	138166	179179	238238	226226	000000	158168	191205	237237	130140	143145	205255	138154	186186	185186
SO_sSO55	147147	251255	000000	138166	177177	238238	226226	000000	158168	205205	246246	130140	143143	255255	144162	186186	201204
SO_sSO56	147147	251251	000000	138166	177179	238238	226228	000000	158158	191205	230246	130140	143145	205255	155158	186186	185185
SO_sSO85	147165	255255	000000	138166	171179	236238	194226	000000	168168	201201	242246	154166	143143	205255	148160	186190	185201
SO_sSO86	145159	251255	000000	138166	171171	236238	220226	000000	164168	205205	242242	130140	143143	205255	148154	186190	203203
SO_sSO87	147147	251255	000000	138166	171185	242246	204204	000000	154168	188201	242242	130130	143147	205255	140140	186186	185199
SO_sSO88	147157	255255	000000	138166	171179	236238	194194	000000	158168	201201	242246	140144	143143	255255	154160	186186	185199
SO_sSO89	147157	251251	000000	138166	171171	236246	192202	000000	168169	191201	242246	130140	143143	205255	154158	186190	201201
SO_sSO90	147147	255257	000000	138138	171179	238246	220226	000000	168168	191205	230246	130140	143143	205255	138160	186190	201201
SO_sSO91	145147	251255	000000	138166	177179	238246	194194	000000	158168	201205	246246	140144	143143	205255	150154	186186	201203
SO_sSO92	147161	255255	000000	138166	147179	238238	226226	000000	168168	191205	242242	130140	143143	255255	138154	186186	199199
SO_sSO93	145147	255255	000000	154166	147147	242246	194208	000000	164164	191191	242242	130140	143143	205205	154154	186190	193193
SO_sSO94	143145	251251	000000	154166	147177	238246	226228	000000	168168	191205	242242	150162	143143	205255	140170	186186	203203
