	CMS121	CMS13	CMS15	CMS17	CMS50	CMS9	CVRL01	CVRL02	CVRL05	CVRL06	LCA66	VOLP03	VOLP08	VOLP32	YWLL08	YWLL38	YWLL44
PAK_p2522	145147	246261	131140	000000	152155	000000	197208	205209	000000	193193	237239	171173	144147	261261	135137	172174	178182
PAK_p2525	145147	246261	132140	000000	155160	000000	197208	205209	000000	193193	235239	170174	136139	261261	135140	165170	181184
PAK_p3	145145	259261	132140	000000	147155	000000	197214	211211	000000	193193	230239	170181	136144	259261	140145	172184	178182
PAK_p3001	145145	237239	149152	150152	147155	000000	197202	207207	000000	193193	237239	170174	136144	261261	137140	184188	181188
PAK_p3002	131138	000000	132134	000000	143146	000000	000000	000000	000000	000000	000000	000000	136144	000000	141159	000000	178184
PAK_p3003	145145	237239	132140	000000	000000	000000	230230	000000	000000	193193	235237	181181	144147	000000	140145	165170	181186
PAK_p3004	131135	261261	149152	000000	166179	000000	197208	207207	000000	183186	230237	181183	136139	261261	131138	165170	181184
PAK_p3005	131135	246261	149152	000000	147152	000000	199208	207207	000000	183194	235239	170174	136144	261261	131135	184189	181188
PAK_p3501	131139	237239	149152	000000	155166	000000	197208	207207	000000	194200	237239	171174	136144	259259	131137	165170	178182
PAK_p3503	131139	246251	149152	150152	155155	000000	228234	207207	000000	194200	235235	170181	136144	261261	131138	165170	178182
PAK_p3504	131136	239251	125132	150152	155179	000000	228234	205212	000000	194194	233239	170181	136144	000000	131137	165170	178182
PAK_p3505	131135	237239	126131	000000	147155	000000	197214	207207	000000	194200	237239	170174	136144	261261	131138	184184	182188
PAK_p3506	138145	246252	125132	150152	182185	000000	204234	205209	000000	183194	235237	170171	136144	000000	138138	170172	181184
PAK_p3508	131135	241246	104104	141150	146155	000000	212226	207214	000000	187194	235235	173181	147147	259259	125131	170176	203220
PAK_p3512	131135	237239	132140	154154	155179	000000	228234	205205	000000	194200	237239	170174	133136	000000	131135	170172	178182
PAK_p3513	131135	241246	104132	141146	147155	000000	212234	196199	000000	188195	237239	173181	145147	259259	124131	170176	203210
PAK_p3518	139142	246249	120129	142144	147155	000000	187204	202209	000000	194200	237239	172181	145147	261261	124131	167172	201203
PAK_p3520	131135	241249	104132	141146	145160	000000	199209	199205	000000	187194	239239	171181	145145	259261	125131	170188	201203
PAK_p3521	135138	000000	132140	000000	151157	000000	000000	000000	000000	000000	000000	000000	144171	000000	129142	000000	000000
PAK_p3523	136139	234239	103132	141146	155179	000000	000000	196199	000000	194200	233239	181181	145145	259261	129137	170172	203220
PAK_p3524	145147	261261	149152	150152	155172	000000	214228	207207	000000	193193	239239	171181	144171	261261	135140	165170	178182
PAK_p4	135139	234236	104132	141146	149155	000000	220234	196199	000000	194200	233235	181199	145147	259261	137166	170176	203220
PAK_p4004	135139	237239	104111	141146	149155	000000	187197	196199	000000	194200	237239	171181	145145	261261	129138	170180	203220
PAK_p4005	138145	236239	104132	141150	145160	000000	189209	196199	000000	198205	235239	173181	145147	261261	129142	170176	203220
PAK_p4006	142147	227237	104111	141146	148155	000000	187196	196199	000000	194200	237239	171181	144147	261261	135142	170180	203207
PAK_p4007	142150	000000	149152	150152	143152	000000	212239	000000	000000	194194	000000	172172	136144	000000	142160	000000	202210
PAK_p4008	135139	232237	104132	141150	145147	000000	187197	196205	000000	194200	237239	181181	144147	261261	000000	170182	203203
PAK_p4009	131133	237239	103132	141146	179181	000000	233234	207222	000000	187189	235237	173173	133136	259261	129135	170174	207209
PAK_p4501	135141	000000	146149	000000	143151	000000	000000	000000	000000	000000	000000	000000	136171	000000	141159	000000	178182
PAK_p4503	135139	236251	103111	141146	147155	000000	234250	196199	000000	194200	235235	173181	145149	259259	126131	170179	201204
PAK_p4504	142150	237252	103132	141150	145149	000000	191197	196199	000000	194200	237237	181181	145147	259261	000000	170172	203220
PAK_p4505	143147	237245	120129	142150	145166	000000	202218	200209	000000	000000	233233	170181	150150	259267	129142	171180	214228
PAK_p4506	131135	251251	103131	141146	149156	000000	202214	199206	000000	187194	239242	181181	145147	259261	000000	170176	201204
PAK_p5	142147	237243	103132	141150	145151	000000	191210	207211	000000	194200	237237	171181	145147	259261	129135	170188	204220
PAK_p501	142149	237251	104111	141150	146155	000000	187197	196212	000000	194200	237239	181181	147149	261261	129137	170180	203220
